Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 31, Los Angeles, California",31-RD-349449,"Consolidated Networks Corporation",Closed,08/29/2024,09/27/2024,"Certification of Results","Fort Irwin",CA,A,"Single Labor Organization",Initial,09/27/2024,7,,"International Association of Machinists & Aerospace Workers, AFL-CIO, District Lodge 725",2,,,,,5,7,,,,,"INCLUDED: All full-time and regular part-time Network Administrators, Systems Administrators, Database Administrators, and MOUT System Administrators employed by the Employer on the Lockheed/ATMP contract at its operations located at Fort Irwin, California. 

EXCLUDED: All other employees, drivers, office clerical employees, managerial employees, guards, and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RC-349867,"Transdev Services, Inc. d/b/a First Transit",Closed,09/06/2024,10/04/2024,"Certification of Results",Milwaukee,WI,A,"Single Labor Organization",Initial,09/27/2024,9,,"Amalgamated Transit Union Local 998",5,,,,,,5,,,,"Amalgamated Transit Union Local 998","Included: All full-time and regular part-time dispatchers employed by the Employer at its facility currently located at 4524 South 13th Street, Milwaukee, Wisconsin. 

Excluded: All other employees, and guards and supervisors as defined in the National Labor Relations Act.


If a majority of valid ballots are cast for Amalgamated Transit Union Local 998, they will be taken to have indicated the employees’ desire to be included in the existing driver, mechanic, scheduler, and reservationist employee unit employed at the Employer’s Milwaukee, Wisconsin, facility currently represented by Amalgamated Transit Union Local 998. If a majority of valid ballots are not cast for representation, they will be taken to have indicated the employees’ desire to remain unrepresented.",,,
"Region 19, Seattle, Washington",19-RC-342692,"Esho Funi, LLC d/b/a Dockside Cannabis Greenlake",Closed,05/21/2024,10/24/2024,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,09/27/2024,8,,"United Food and Commercial Workers Local 3000, affiliated with the United Food and Commercial Workers International Union",5,,,,,3,8,,,,"United Food and Commercial Workers Local 3000, affiliated with the United Food and Commercial Workers International Union","All full-time and regular part-time shift leads, budtenders/sales associates, security employees, and receiving coordinators employed by the Employer at its facility located at 8401 Aurora Avenue North, Seattle, Washington; excluding all other employees, assistant managers, store managers, office clerical employees, and guards and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RC-350169,"Starbucks Corporation",Closed,09/10/2024,10/10/2024,"Certific. of Representative","Des Plaines",IL,A,"Single Labor Organization",Initial,09/27/2024,18,,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",12,,,,,,12,,,,"Chicago & Midwest Regional Joint Board, Workers United/SEIU","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility currently located at 1427 Lee Street, Des Plaines, IL.
Excluded: All store managers, assistant store managers, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",,,
"Region 28, Phoenix, Arizona",28-RC-349581,"Story Companies LLC",Closed,08/30/2024,10/16/2024,"Certific. of Representative",Chandler,AZ,A,"Single Labor Organization",Initial,09/27/2024,28,,"United Food & Commercial Workers International Union, Local 99, AFL-CIO, CLC",18,,,,,6,24,,,,"United Food & Commercial Workers International Union, Local 99, AFL-CIO, CLC","INCLUDED: All full-time and regular part-time retail associates, and retail inventory associates, retail inventory supervisors, and shift supervisors.

EXCLUDED: All other employees, confidential employees, office clerical employees, professional employees, managerial employees, and guards and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-349705,"PODS Enterprises, LLC",Closed,09/05/2024,10/07/2024,"Certific. of Representative",Armonk,NY,A,"Single Labor Organization",Initial,09/27/2024,4,,"Local 456, International Brotherhood of Teamsters",2,,,,,1,3,,,,"Local 456, International Brotherhood of Teamsters","INCLUDED: All full-time and regular part-time drivers employed by the Employer at and out of its Armonk, NY facility located at 94 Business Park Drive, Armonk, NY 10504.

EXCLUDED: All other employees, including warehouse employees, office clerical employees, guards, professional employees and supervisors as defined in the Act.
",,,
"Region 28, Phoenix, Arizona",28-RC-349943,"Nevada Property 1 LLC d/b/a The Cosmopolitan of Las Vegas",Closed,09/06/2024,10/30/2024,"Certific. of Representative","Las Vegas",NV,A,"Single Labor Organization",Initial,09/27/2024,43,,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986",39,,,,,1,40,,,,"General Teamsters, Airline, Aerospace and Allied Employees, Warehousemen, Drivers, Construction, Rock and Sand, Local 986","INCLUDED:  All full-time and regular part-time runners, specialists, attendants warehouse and receiving, and senior receivers employees employed by the Employer at its facilities located in Las Vegas, Nevada. 

EXCLUDED:  All other employees, office clerical employees, employees already represented by a labor organization, guards, and supervisors as defined in the Act.  
",,,
"Region 01, Boston, Massachusetts",01-RC-344246,"All-Star Transportation, LLC",Closed,06/12/2024,10/04/2024,"Certific. of Representative",Waterbury,CT,A,"Single Labor Organization",Initial,09/26/2024,123,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 671",96,,,,,14,4,,,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 671","All full-time and regular part-time drivers and monitors employed by the Employer at its Waterbury, Connecticut facility, but excluding all office clerical employees, confidential employees, managerial employees, and guards, professional employees, and supervisors as defined in the Act.

",,,
"Region 01, Boston, Massachusetts",01-RC-341106,"Wesleyan University",Closed,04/29/2024,10/04/2024,"Certific. of Representative",Middletown,CT,A,"Single Labor Organization",Initial,09/26/2024,117,,"Office and Professional Employees International Union Local 153, AFL-CIO",86,,,,,7,93,,3,,"Office and Professional Employees International Union Local 153, AFL-CIO","Included:  All full-time and regular part-time students enrolled at Wesleyan in a two-year MA program or a Ph. D. program, in active or leave status, who receive stipends from the Employer, including graduate students who have completed coursework but have not yet completed their theses/dissertations who receive stipends from the Employer, and foreign language teaching assistants employed by the Employer. 

Excluded:  All students enrolled in BA/MA programs, graduate students on Fullbright grants, graduate students completing degrees at other universities, graduate students who have completed course work but have not completed their theses/dissertations (unless they receive a stipend), graduate students who have successfully defended their theses/dissertations but have not yet graduated, all faculty, staff employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act.
",,,
"Region 02, New York, New York",02-RC-349710,"St. Luke's Cornwall Hospital d/b/a Montefiore St. Luke's Cornwall Hospital",Closed,09/05/2024,10/04/2024,"Certific. of Representative",Newburgh,NY,A,"Single Labor Organization",Initial,09/26/2024,,,"1199SEIU United Healthcare Workers East",,,,,,,3,,,,"1199SEIU United Healthcare Workers East",,,,
